question,difficulty,topics,link,frequency,acceptance
3Sum,MEDIUM,"Array, Two Pointers, Sorting",https://leetcode.com/problems/3sum,66.8,0.3707094643503578
Roman to Integer,EASY,"Hash Table, Math, String",https://leetcode.com/problems/roman-to-integer,66.2,0.6486627884371093
Remove Duplicates from Sorted Array,EASY,"Array, Two Pointers",https://leetcode.com/problems/remove-duplicates-from-sorted-array,65.5,0.6035551112882038
Search in Rotated Sorted Array,MEDIUM,"Array, Binary Search",https://leetcode.com/problems/search-in-rotated-sorted-array,64.2,0.4283722138743466
Sqrt(x),EASY,"Math, Binary Search",https://leetcode.com/problems/sqrtx,63.5,0.4037178718652037
Maximum Subarray,MEDIUM,"Array, Divide and Conquer, Dynamic Programming",https://leetcode.com/problems/maximum-subarray,63.5,0.520997876367211
Merge Two Sorted Lists,EASY,"Linked List, Recursion",https://leetcode.com/problems/merge-two-sorted-lists,62.7,0.6684090913680062
Generate Parentheses,MEDIUM,"String, Dynamic Programming, Backtracking",https://leetcode.com/problems/generate-parentheses,61.2,0.7713286717803378
Merge k Sorted Lists,HARD,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort",https://leetcode.com/problems/merge-k-sorted-lists,61.2,0.567741907864408
Container With Most Water,MEDIUM,"Array, Two Pointers, Greedy",https://leetcode.com/problems/container-with-most-water,60.4,0.5778282574410597
Find the Index of the First Occurrence in a String,EASY,"Two Pointers, String, String Matching",https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,58.6,0.449716000865219
Remove Element,EASY,"Array, Two Pointers",https://leetcode.com/problems/remove-element,56.7,0.600316358048653
Search Insert Position,EASY,"Array, Binary Search",https://leetcode.com/problems/search-insert-position,55.6,0.4901242285525163
Letter Combinations of a Phone Number,MEDIUM,"Hash Table, String, Backtracking",https://leetcode.com/problems/letter-combinations-of-a-phone-number,55.6,0.6385756647080152
Regular Expression Matching,HARD,"String, Dynamic Programming, Recursion",https://leetcode.com/problems/regular-expression-matching,53.3,0.2928012366939696
Remove Nth Node From End of List,MEDIUM,"Linked List, Two Pointers",https://leetcode.com/problems/remove-nth-node-from-end-of-list,53.3,0.4896103765491196
Insert Interval,MEDIUM,Array,https://leetcode.com/problems/insert-interval,52.1,0.4347362871417847
Largest Rectangle in Histogram,HARD,"Array, Stack, Monotonic Stack",https://leetcode.com/problems/largest-rectangle-in-histogram,52.1,0.4737765317407914
Add Binary,EASY,"Math, String, Bit Manipulation, Simulation",https://leetcode.com/problems/add-binary,52.1,0.5567701348180015
Permutations,MEDIUM,"Array, Backtracking",https://leetcode.com/problems/permutations,52.1,0.8066011364163758
Maximum Depth of Binary Tree,EASY,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",https://leetcode.com/problems/maximum-depth-of-binary-tree,52.1,0.7713813958630182
Binary Tree Level Order Traversal,MEDIUM,"Tree, Breadth-First Search, Binary Tree",https://leetcode.com/problems/binary-tree-level-order-traversal,52.1,0.7059658947038693
Find First and Last Position of Element in Sorted Array,MEDIUM,"Array, Binary Search",https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,52.1,0.4682874104872264
Next Permutation,MEDIUM,"Array, Two Pointers",https://leetcode.com/problems/next-permutation,50.8,0.4305772664998175
Combination Sum,MEDIUM,"Array, Backtracking",https://leetcode.com/problems/combination-sum,47.8,0.7467468656021409
Sort Colors,MEDIUM,"Array, Two Pointers, Sorting",https://leetcode.com/problems/sort-colors,47.8,0.6758312948649591
Jump Game,MEDIUM,"Array, Dynamic Programming, Greedy",https://leetcode.com/problems/jump-game,47.8,0.3947919786729132
4Sum,MEDIUM,"Array, Two Pointers, Sorting",https://leetcode.com/problems/4sum,46.1,0.3821902011379304
