question,difficulty,topics,link,frequency,acceptance
Permutation in String,MEDIUM,"Hash Table, Two Pointers, String, Sliding Window",https://leetcode.com/problems/permutation-in-string,25.5,0.4724785172055026
Reorder List,MEDIUM,"Linked List, Two Pointers, Stack, Recursion",https://leetcode.com/problems/reorder-list,25.5,0.6250476843297371
Intersection of Two Linked Lists,EASY,"Hash Table, Linked List, Two Pointers",https://leetcode.com/problems/intersection-of-two-linked-lists,25.5,0.6112536319835228
Find the Duplicate Number,MEDIUM,"Array, Two Pointers, Binary Search, Bit Manipulation",https://leetcode.com/problems/find-the-duplicate-number,25.5,0.6283577384693005
Largest Number,MEDIUM,"Array, String, Greedy, Sorting",https://leetcode.com/problems/largest-number,25.5,0.412803811932624
Valid Anagram,EASY,"Hash Table, String, Sorting",https://leetcode.com/problems/valid-anagram,25.5,0.6666090585070029
Rotate Array,MEDIUM,"Array, Math, Two Pointers",https://leetcode.com/problems/rotate-array,25.5,0.4302138242326172
Rotate Image,MEDIUM,"Array, Math, Matrix",https://leetcode.com/problems/rotate-image,25.5,0.7790165261990751
Jump Game II,MEDIUM,"Array, Dynamic Programming, Greedy",https://leetcode.com/problems/jump-game-ii,19.1,0.415032966531176
Valid Sudoku,MEDIUM,"Array, Hash Table, Matrix",https://leetcode.com/problems/valid-sudoku,19.1,0.6227675793740958
Contains Duplicate II,EASY,"Array, Hash Table, Sliding Window",https://leetcode.com/problems/contains-duplicate-ii,19.1,0.4904986450077176
Unique Paths,MEDIUM,"Math, Dynamic Programming, Combinatorics",https://leetcode.com/problems/unique-paths,19.1,0.6577287347956182
Merge Sorted Array,EASY,"Array, Two Pointers, Sorting",https://leetcode.com/problems/merge-sorted-array,19.1,0.5291952521829845
Query Kth Smallest Trimmed Number,MEDIUM,"Array, String, Divide and Conquer, Sorting, Heap (Priority Queue), Radix Sort, Quickselect",https://leetcode.com/problems/query-kth-smallest-trimmed-number,19.1,0.4557405560244507
Remove Duplicate Letters,MEDIUM,"String, Stack, Greedy, Monotonic Stack",https://leetcode.com/problems/remove-duplicate-letters,19.1,0.5135095841552992
Zigzag Conversion,MEDIUM,String,https://leetcode.com/problems/zigzag-conversion,19.1,0.5160678115303926
Interleaving String,MEDIUM,"String, Dynamic Programming",https://leetcode.com/problems/interleaving-string,19.1,0.4217918033968859
